destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
Mall road,Shimla,north,city,shopping,low,all,4.7,61.0,"Mall road is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Annandale  view,Shimla,north,city,exploration,low,all,3.8,66.0,"Annandale  view is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Chadwick falls,Shimla,north,wildlife,wildlife,low,winter,3.6,92.0,"Chadwick falls is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Himalayan bird park,Shimla,north,wildlife,wildlife,low,winter,3.9,89.0,"Himalayan bird park is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Naldhera and Shaily peak,Shimla,north,wildlife,trekking,low,winter,4.5,92.0,"Naldhera and Shaily peak is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Kufri Fun World,Bengaluru,north,adventure,adventure,low,summer,3.8,84.0,"Kufri Fun World is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Scandal point,Shimla,north,city,exploration,low,all,4.5,66.0,"Scandal point is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Kalka-Shimla Toy train,Upalheri,north,city,exploration,high,all,4.5,97.0,"Kalka-Shimla Toy train is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Lakkar bazaar,Shimla,north,city,shopping,low,all,4.0,61.0,"Lakkar bazaar is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Rafting at Tattapani,Theogi,north,adventure,adventure,luxury,summer,4.1,89.0,"Rafting at Tattapani is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kuthar Fort,Krishangarh,north,heritage,heritage,low,winter,4.3,63.0,"Kuthar Fort is a heritage destination in himachal pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Tara Devi Temple,Manauri,north,religious,religious,low,all,4.8,85.0,"Tara Devi Temple is a religious destination in himachal pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Christ Church,Shimla,north,heritage,heritage,low,winter,4.6,87.0,"Christ Church is a heritage destination in himachal pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Jakhoo hill ,Shimla,north,wildlife,wildlife,low,winter,4.6,65.0,"Jakhoo hill  is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Solang Valley,Solang,north,wildlife,wildlife,low,winter,4.1,74.0,"Solang Valley is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Hidimba Devi Temple,Manali,north,religious,religious,low,all,4.6,88.0,"Hidimba Devi Temple is a religious destination in himachal pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Beas kund,Kullu,north,wildlife,wildlife,low,winter,4.6,89.0,"Beas kund is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Vashisht baths,Manali,north,adventure,adventure,low,summer,4.0,70.0,"Vashisht baths is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Rohtang Pass,Lahaul And Spiti,north,adventure,adventure,low,summer,4.5,76.0,"Rohtang Pass is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Gulaba viewpoint,Kothi,north,city,exploration,low,all,4.5,65.0,"Gulaba viewpoint is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Panch Pulla Waterfall,Panchpulla,north,wildlife,wildlife,low,winter,3.9,80.0,"Panch Pulla Waterfall is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Boat riding in Chamera lake,Ghatta,north,adventure,photography,high,summer,4.4,86.0,"Boat riding in Chamera lake is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kalatop Wildlife sanctuary,Dalhousie,north,wildlife,wildlife,medium,winter,4.6,95.0,"Kalatop Wildlife sanctuary is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Shop at Tibetan Handicrafts market,Panchpulla,north,city,shopping,low,all,3.8,64.0,"Shop at Tibetan Handicrafts market is a city destination in himachal pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Trek to Dainkund Peak,Chamba,north,adventure,trekking,luxury,summer,4.8,75.0,"Trek to Dainkund Peak is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Trek to Ganji Pahari,Panchpulla,north,adventure,trekking,luxury,summer,4.0,88.0,"Trek to Ganji Pahari is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Dalai Lama Temple,Dharmasthala,north,religious,religious,low,all,4.7,97.0,"Dalai Lama Temple is a religious destination in himachal pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Khajjiar Lake,Dalhousie,north,wildlife,wildlife,low,winter,4.5,96.0,"Khajjiar Lake is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Vaishno Devi Temple,Basag,north,religious,religious,low,all,4.6,59.0,"Vaishno Devi Temple is a religious destination in himachal pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Hamta Pass,Kullu,north,adventure,adventure,low,summer,4.5,94.0,"Hamta Pass is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Tirthan valley,Bali Ghar,north,wildlife,wildlife,low,winter,4.7,58.0,"Tirthan valley is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Chandrakhani Pass,Kullu,north,adventure,adventure,low,summer,4.3,91.0,"Chandrakhani Pass is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Lama Dugh Hike,Manali,north,adventure,adventure,luxury,summer,4.7,99.0,"Lama Dugh Hike is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Cycling from Manu Temple,Manali,north,adventure,religious,low,summer,4.6,88.0,"Cycling from Manu Temple is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Rafting in river Beas,Aloh,north,adventure,adventure,high,summer,4.5,82.0,"Rafting in river Beas is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Paragliding in Kullu hills,Kullu,north,adventure,adventure,luxury,summer,4.7,51.0,"Paragliding in Kullu hills is a adventure destination in himachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Great Himalayan National Park,Kullu,north,wildlife,wildlife,medium,winter,4.5,54.0,"Great Himalayan National Park is a wildlife destination in himachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Naini Lake,Nainital,north,wildlife,wildlife,low,winter,4.2,66.0,"Naini Lake is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Sunrise at Tiffin top,Nainital,north,wildlife,wildlife,low,winter,4.5,54.0,"Sunrise at Tiffin top is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Shop at Tibetan  market,Nainital,north,city,shopping,low,all,4.2,62.0,"Shop at Tibetan  market is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Cave garden,Nainital,north,wildlife,wildlife,medium,winter,4.3,89.0,"Cave garden is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Nainital zoo,Nainital,north,wildlife,wildlife,medium,winter,4.3,63.0,"Nainital zoo is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Shop at Mall road,Nainital,north,city,shopping,low,all,4.5,67.0,"Shop at Mall road is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Naina Devi temple,Bilaspur,north,religious,religious,low,all,4.6,59.0,"Naina Devi temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pangot and Kilbury bird sanctuary,Kilbary,north,wildlife,wildlife,low,winter,4.2,97.0,"Pangot and Kilbury bird sanctuary is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Raj Bhawan Royal Palace,Nainital,north,heritage,heritage,high,winter,4.6,86.0,"Raj Bhawan Royal Palace is a heritage destination in uttarakhand known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Cheena peak,Nainital,north,adventure,trekking,low,summer,4.7,93.0,"Cheena peak is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Nainital ropeway,Nainital,north,adventure,adventure,medium,summer,4.7,61.0,"Nainital ropeway is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Laxman Jhula,Pauri Garhwal,north,adventure,adventure,low,summer,4.4,72.0,"Laxman Jhula is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Triveni Ghat,Rishikesh,north,religious,religious,low,all,4.3,83.0,"Triveni Ghat is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Vashishta Gufa,Tehri Garhwal,north,religious,religious,low,all,4.2,55.0,"Vashishta Gufa is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kunjapuri Devi Temple and camps,Tehri Garhwal,north,religious,religious,low,all,4.9,74.0,"Kunjapuri Devi Temple and camps is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Beatles Ashram,Pauri Garhwal,north,city,exploration,low,all,4.4,68.0,"Beatles Ashram is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Giant swing or zip lining,Pauri Garhwal,north,adventure,adventure,luxury,summer,4.8,93.0,"Giant swing or zip lining is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Camp on banks of Ganges,Siddharthnagar,north,adventure,adventure,low,summer,4.7,85.0,"Camp on banks of Ganges is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Ram Jhula,Tehri Garhwal,north,religious,religious,low,all,4.6,69.0,"Ram Jhula is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Neelkantha Mahadeva Temple,Pauri Garhwal,north,religious,religious,low,all,4.5,81.0,"Neelkantha Mahadeva Temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Bharat Mandir,Hirdi,north,religious,religious,low,all,3.8,79.0,"Bharat Mandir is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Bhootnath Temple,Pauri Garhwal,north,religious,religious,low,all,4.5,80.0,"Bhootnath Temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Devprayag Sightseeing ,Devprayag,north,city,exploration,low,all,4.1,99.0,"Devprayag Sightseeing  is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
 dip in Bramhakund,Haridwar,north,religious,religious,low,all,4.8,75.0," dip in Bramhakund is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ganga arti at Har-ki-Pauri ghat,Haridwar,north,religious,religious,low,all,4.6,88.0,"Ganga arti at Har-ki-Pauri ghat is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Neel Dhara Pakshi Vihar,Haridwar,north,wildlife,wildlife,low,winter,4.0,72.0,"Neel Dhara Pakshi Vihar is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Rajaji National Park ,Rishikesh,north,wildlife,wildlife,medium,winter,4.3,74.0,"Rajaji National Park  is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Moti Bazar,Mumbai,north,city,shopping,low,all,4.3,53.0,"Moti Bazar is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Jwalapur Bazar ,Haridwar,north,city,shopping,low,all,4.1,60.0,"Jwalapur Bazar  is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Bara Bazar ,Kolkata,north,city,shopping,low,all,4.5,64.0,"Bara Bazar  is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
 Kankhal Bazar,Haridwar,north,city,shopping,low,all,3.8,71.0," Kankhal Bazar is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Har Ki Pauri,Haridwar,north,religious,religious,low,all,4.5,74.0,"Har Ki Pauri is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tungnath Chandrashila trekk,Chamoli,north,adventure,trekking,high,summer,4.2,55.0,"Tungnath Chandrashila trekk is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Chandi Devi Temple,Haridwar,north,religious,religious,low,all,4.4,81.0,"Chandi Devi Temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Malsi Deer park,Dehradun,north,wildlife,wildlife,low,winter,4.3,89.0,"Malsi Deer park is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Shiv Mandir,Bhatta,north,religious,religious,low,all,4.5,59.0,"Shiv Mandir is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mindrolling monastery,Dehradun,north,heritage,heritage,low,winter,4.3,87.0,"Mindrolling monastery is a heritage destination in uttarakhand known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Nag Tibba trek,Tehri Garhwal,north,adventure,trekking,luxury,summer,4.8,56.0,"Nag Tibba trek is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Mall road,Rishikesh,north,city,shopping,low,all,4.7,73.0,"Mall road is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Rajaji National Park ,Rishikesh,north,wildlife,wildlife,low,winter,4.6,56.0,"Rajaji National Park  is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Santala Devi temple,Dehradun,north,religious,religious,low,all,3.8,71.0,"Santala Devi temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Indira market,Dehradun,north,city,shopping,low,all,4.7,87.0,"Indira market is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Pacific mall,Almaty Region,north,city,shopping,low,all,4.9,89.0,"Pacific mall is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Paltan Bazaar ,Guwahati,north,city,shopping,low,all,3.7,76.0,"Paltan Bazaar  is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Lachhiwala nature park,Dehradun,north,wildlife,wildlife,low,winter,4.2,80.0,"Lachhiwala nature park is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Fun n Food Kingdom ,Dehradun,north,adventure,adventure,luxury,summer,4.3,55.0,"Fun n Food Kingdom  is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Robber's Cave,Dehradun,north,adventure,adventure,low,summer,4.5,69.0,"Robber's Cave is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kempty Falls,Kempty Fall,north,wildlife,wildlife,low,winter,4.2,74.0,"Kempty Falls is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Camel's back road,Mussoorie,north,city,exploration,low,all,4.6,77.0,"Camel's back road is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Jabarkhet nature reserve,Jabarkhet,north,wildlife,wildlife,low,winter,4.3,67.0,"Jabarkhet nature reserve is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Bhadraj Temple trek,Dehradun,north,religious,trekking,low,all,4.7,71.0,"Bhadraj Temple trek is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Har ki dun trek,Uttarkashi,north,adventure,trekking,luxury,summer,4.1,94.0,"Har ki dun trek is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Dodital trek,Bhankoli,north,adventure,trekking,luxury,summer,4.2,88.0,"Dodital trek is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
"Skywalk ,zipswings in Mussoorie",Library Bazaar,north,adventure,adventure,low,summer,4.9,51.0,"Skywalk ,zipswings in Mussoorie is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Disco Skating Rink,Mussoorie,north,adventure,adventure,medium,summer,3.6,60.0,"Disco Skating Rink is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Library Bazaar,Library Bazaar,north,city,shopping,low,all,3.9,74.0,"Library Bazaar is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Kulri Bazaar,Library Bazaar,north,city,shopping,low,all,3.8,89.0,"Kulri Bazaar is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Mall road,Library Bazaar,north,city,shopping,low,all,4.7,58.0,"Mall road is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Mussoorie lake,Library Bazaar,north,wildlife,wildlife,low,winter,4.8,78.0,"Mussoorie lake is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Classic Emporium,Library Bazaar,north,city,shopping,medium,all,4.6,84.0,"Classic Emporium is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Auli Gorson Trek,Dhulet,north,adventure,trekking,low,summer,4.4,85.0,"Auli Gorson Trek is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Nanda Devi Biosphere Reserve,Malari,north,wildlife,wildlife,medium,winter,4.4,84.0,"Nanda Devi Biosphere Reserve is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Chattrakund Lake ,Dhulet,north,wildlife,wildlife,low,winter,4.3,97.0,"Chattrakund Lake  is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Trishul Peak,Chamoli,north,wildlife,trekking,low,winter,4.4,69.0,"Trishul Peak is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Joshimath Market,Joshimath,north,city,shopping,low,all,3.8,54.0,"Joshimath Market is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Auli Ski Resort,Auli,north,adventure,adventure,low,summer,4.5,76.0,"Auli Ski Resort is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Bhalu dam,Almora,north,wildlife,wildlife,low,winter,4.3,64.0,"Bhalu dam is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Jhula Devi temple,Rānikhet,north,religious,religious,low,all,4.2,91.0,"Jhula Devi temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chaubatia Gardens,Rānikhet,north,city,exploration,medium,all,4.0,93.0,"Chaubatia Gardens is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Joshimath Market,Joshimath,north,city,shopping,low,all,4.8,90.0,"Joshimath Market is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Sadar bazaar,Delhi,north,city,shopping,low,all,4.4,57.0,"Sadar bazaar is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Binsar Mahadev Mandir,Byasi,north,religious,religious,low,all,4.0,81.0,"Binsar Mahadev Mandir is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Rani Jheel,Majkhali,north,wildlife,wildlife,low,winter,3.8,51.0,"Rani Jheel is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Gangotri Temple,Gangotri,north,religious,religious,low,all,4.8,74.0,"Gangotri Temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Yamunotri,Uttarkashi,north,religious,religious,low,all,4.2,94.0,"Yamunotri is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kedar Tal,Uttarkashi,north,adventure,adventure,low,summer,4.6,70.0,"Kedar Tal is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Harsil,Bagori,north,wildlife,wildlife,low,winter,4.2,51.0,"Harsil is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Jalmanga Shivling,Uttarkashi,north,religious,religious,low,all,4.7,88.0,"Jalmanga Shivling is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Vishwanath temple,Uttarkashi,north,religious,religious,low,all,4.7,80.0,"Vishwanath temple is a religious destination in uttarakhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Gaumukh glacier,Uttarkashi,north,wildlife,wildlife,low,winter,4.6,88.0,"Gaumukh glacier is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Nachiketa lake,Chaurangikhal,north,wildlife,wildlife,low,winter,4.4,56.0,"Nachiketa lake is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Nehru Institute of Mountaineering,Uttarkashi,north,adventure,trekking,medium,summer,4.7,58.0,"Nehru Institute of Mountaineering is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Dayara Bugyal  trekking and camping,Uttarkashi,north,adventure,trekking,low,summer,4.8,93.0,"Dayara Bugyal  trekking and camping is a adventure destination in uttarakhand known for trekking,rafting,paragliding. It is ideal for adventure lover"
Dodital lake,Uttarkashi,north,wildlife,wildlife,low,winter,4.6,63.0,"Dodital lake is a wildlife destination in uttarakhand known for safari,photography,nature. It is ideal for history and cultural lover"
Maneri dam,Chinnavedampatti,north,city,exploration,low,all,4.8,84.0,"Maneri dam is a city destination in uttarakhand known for exploration,local experience. It is ideal for explorers and tourists"
Dal Lake,Srinagar,north,wildlife,wildlife,low,winter,4.6,59.0,"Dal Lake is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Shankaracharya Temple,Srinagar,north,religious,religious,low,all,4.8,57.0,"Shankaracharya Temple is a religious destination in jammu and kashmir known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shopping at Lal Chowk,Srinagar,north,city,shopping,low,all,4.4,90.0,"Shopping at Lal Chowk is a city destination in jammu and kashmir known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at Badshah Chowk,Srinagar,north,city,shopping,low,all,4.4,52.0,"Shopping at Badshah Chowk is a city destination in jammu and kashmir known for exploration,local experience. It is ideal for explorers and tourists"
Indira Gandhi Memorial Tulip Garden,Srinagar,north,wildlife,wildlife,low,winter,4.7,95.0,"Indira Gandhi Memorial Tulip Garden is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Manasabal Lake,Nasbal,north,wildlife,wildlife,low,winter,4.7,53.0,"Manasabal Lake is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Hazratbal Mosque,Srinagar,north,religious,religious,low,all,4.4,79.0,"Hazratbal Mosque is a religious destination in jammu and kashmir known for temple,spiritual,peace. It is ideal for spiritual seekers"
"Rafting , Gondola ride at Sonmarg",Sonamarg,north,adventure,adventure,low,summer,4.8,65.0,"Rafting , Gondola ride at Sonmarg is a adventure destination in jammu and kashmir known for trekking,rafting,paragliding. It is ideal for adventure lover"
Skiing in Gulmarg,Gulmarg,north,adventure,adventure,high,summer,4.5,74.0,"Skiing in Gulmarg is a adventure destination in jammu and kashmir known for trekking,rafting,paragliding. It is ideal for adventure lover"
Chashme Shahi Garden,Srinagar,north,wildlife,wildlife,low,winter,4.0,66.0,"Chashme Shahi Garden is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Shalimar Bagh,Tailbal(Habak Shanpora),north,wildlife,wildlife,low,winter,4.0,90.0,"Shalimar Bagh is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Dachigam National Park,Srinagar,north,wildlife,wildlife,high,winter,3.8,52.0,"Dachigam National Park is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Betaab Valley ,Pahalgam,north,wildlife,wildlife,low,winter,3.8,53.0,"Betaab Valley  is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Aru Valley  For daring expeditions ,Aru,north,adventure,photography,low,summer,3.7,91.0,"Aru Valley  For daring expeditions  is a adventure destination in jammu and kashmir known for trekking,rafting,paragliding. It is ideal for adventure lover"
Sinthan top,Anantnag,north,wildlife,wildlife,low,winter,4.7,98.0,"Sinthan top is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Pari mahal,Srinagar,north,wildlife,wildlife,low,winter,4.8,64.0,"Pari mahal is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Doodh Pathri,Budgam,north,wildlife,wildlife,low,winter,4.5,97.0,"Doodh Pathri is a wildlife destination in jammu and kashmir known for safari,photography,nature. It is ideal for history and cultural lover"
Chandanwari,Pahalgam,north,adventure,adventure,low,summer,4.2,99.0,"Chandanwari is a adventure destination in jammu and kashmir known for trekking,rafting,paragliding. It is ideal for adventure lover"
Vaishno Devi,Vaishno Devi,north,religious,religious,low,all,4.7,63.0,"Vaishno Devi is a religious destination in jammu and kashmir known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pangong Tso,Mumbai,north,wildlife,wildlife,low,winter,4.9,72.0,"Pangong Tso is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Hemis National Park,Mumbai,north,wildlife,wildlife,low,winter,4.5,99.0,"Hemis National Park is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Hunder  Try Bactrian Camel Safari,Ladakh,north,adventure,adventure,low,summer,4.7,72.0,"Hunder  Try Bactrian Camel Safari is a adventure destination in ladakh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Khardungla Pass  Visit Highest Cafeteria In The World,Leh District,north,adventure,adventure,low,summer,4.7,80.0,"Khardungla Pass  Visit Highest Cafeteria In The World is a adventure destination in ladakh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Zanskar Valley Tour,Mumbai,north,wildlife,wildlife,low,winter,4.0,70.0,"Zanskar Valley Tour is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Spituk Gompa Trek,Spituk,north,religious,trekking,low,all,4.0,61.0,"Spituk Gompa Trek is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Lamayuru  For Stargazing,Leh District,north,city,exploration,low,all,4.0,82.0,"Lamayuru  For Stargazing is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Drang Drung Glacier ,Leh District,north,wildlife,wildlife,low,winter,3.8,61.0,"Drang Drung Glacier  is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Main Bazaar ,Leh District,north,city,shopping,low,all,4.7,62.0,"Main Bazaar  is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Shanti Stupa,Leh District,north,religious,religious,low,all,4.7,79.0,"Shanti Stupa is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Main Bazaar ,Leh District,north,city,shopping,low,all,4.6,79.0,"Main Bazaar  is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Zorawar Fort,Leh District,north,heritage,heritage,high,winter,4.6,83.0,"Zorawar Fort is a heritage destination in ladakh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
